"","Symbol"
"1397","HTGX"
"1398","HRTG"
"1399","HT"
"1400","HT^C"
"1401","HT^D"
"1402","HT^E"
"1403","HSY"
"1404","HTZ"
"1405","HES"
"1406","HES^A"
"1407","HESM"
"1408","HPE"
"1409","HXL"
"1410","HF"
"1411","HCLP"
"1412","HFRO"
"1413","HIW"
"1414","HIL"
"1415","HI"
"1416","HRC"
"1417","HTH"
"1418","HGV"
"1419","HLT"
"1420","HNI"
"1421","HMLP"
"1422","HMLP^A"
"1423","HEP"
"1424","HFC"
"1425","HD"
"1426","HMC"
"1427","HON"
"1428","HMN"
"1429","HZN"
"1430","HTFA"
"1431","HRL"
"1432","HOS"
"1433","HST"
"1434","HLI"
"1435","HOV"
"1436","HHC"
"1437","HPQ"
"1438","HRG"
"1439","HSBC"
"1440","HSBC^A"
"1441","HSEA"
"1442","HSEB"
"1443","HMI"
"1444","HNP"
"1445","HUBB"
"1446","HUBS"
"1447","HBM"
"1448","HBM.WS"
"1449","HUD"
"1450","HPP"
"1451","HGT"
"1452","HUM"
"1453","HII"
"1454","HUN"
"1455","H"
"1456","HY"
"1457","IAG"
"1458","IBN"
"1459","IDA"
"1460","IEX"
"1461","IDT"
"1462","IDT$"
"1463","ITW"
"1464","IMAX"
"1465","ICD"
"1466","IHC"
"1467","IRT"
"1468","IFN"
"1469","IBA"
"1470","INFY"
"1471","HIFR"
"1472","ING"
"1473","ISF"
"1474","ISG"
"1475","IR"
"1476","NGVT"
"1477","INGR"
"1478","IIPR"
"1479","IIPR^A"
"1480","IPHI"
"1481","INSI"
"1482","NSP"
"1483","IBP"
"1484","INST"
"1485","ITGR"
"1486","I"
"1487","ICE"
"1488","IHG"
"1489","IFF"
"1490","IBM"
"1491","IGT"
"1492","IP"
"1493","INSW"
"1494","IPG"
"1495","IPL^D"
"1496","INXN"
"1497","IPI"
"1498","XON"
"1499","IVC"
"1500","VBF"
"1501","VCV"
"1502","VTA"
"1503","IHIT"
"1504","IHTA"
"1505","VLT"
"1506","IVR"
"1507","IVR^B"
"1508","IVR^C"
"1509","IVR^A"
"1510","OIA"
"1511","VMO"
"1512","VKQ"
"1513","VPV"
"1514","IVZ"
"1515","IQI"
"1516","VVR"
"1517","VTN"
"1518","VGM"
"1519","IIM"
"1520","ITG"
"1521","IRET"
"1522","IRET^C"
"1523","NVTA"
"1524","INVH"
"1525","IO"
"1526","IQV"
"1527","IRM"
"1528","IRS"
"1529","ICL"
"1530","STAR          "
"1531","STAR^D"
"1532","STAR^G"
"1533","STAR^I"
"1534","ITCB"
"1535","ITUB"
"1536","ITT"
"1537","IVH"
"1538","JPM"
"1539","JPM.WS"
"1540","JPM^A"
"1541","JPM^B"
"1542","JPM^E"
"1543","JPM^F"
"1544","JPM^G"
"1545","JPM^H"
"1546","JAX"
"1547","JILL"
"1548","JCP"
"1549","SJM"
"1550","JBL"
"1551","JEC"
"1552","JAG"
"1553","JHX"
"1554","JHG"
"1555","JOF"
"1556","JBGS"
"1557","JELD"
"1558","JCAP"
"1559","JCAP^B"
"1560","JT"
"1561","JKS"
"1562","JMP"
"1563","JMPB"
"1564","JMPD"
"1565","JBT"
"1566","BTO"
"1567","HEQ"
"1568","JHS"
"1569","JHI"
"1570","HPF"
"1571","HPI"
"1572","HPS"
"1573","PDT"
"1574","HTD"
"1575","HTY"
"1576","JW.A"
"1577","JW.B"
"1578","JNJ"
"1579","JCI"
"1580","JONE"
"1581","JLL"
"1582","JMEI"
"1583","JNPR"
"1584","JP"
"1585","JE"
"1586","JE^A"
"1587","LRN"
"1588","KAI"
"1589","KDMN"
